Name,Term
George Washington,John Adams[c]
John Adams,Thomas Jefferson[d]
Thomas Jefferson,Aaron Burr  George Clinton
James Madison,George Clinton[e]  Vacant afterApril 20, 1812  Elbridge Gerry[e]  Vacant afterNovember 23, 1814
James Monroe,Daniel D. Tompkins
John Quincy Adams,John C. Calhoun[g]
Andrew Jackson,John C. Calhoun[h]  Vacant afterDecember 28, 1832  Martin Van Buren
Martin Van Buren,Richard Mentor Johnson
William Henry Harrison,John Tyler
John Tyler,Vacant throughoutpresidency
James K. Polk,George M. Dallas
Zachary Taylor,Millard Fillmore
Millard Fillmore,Vacant throughoutpresidency
Franklin Pierce,William R. King[e]  Vacant afterApril 18, 1853
James Buchanan,John C. Breckinridge
Abraham Lincoln,Hannibal Hamlin  Andrew Johnson
Andrew Johnson,Vacant throughoutpresidency
Ulysses S. Grant,Schuyler Colfax  Henry Wilson[e]  Vacant afterNovember 22, 1875
Rutherford B. Hayes,William A. Wheeler
James A. Garfield,Chester A. Arthur
Chester A. Arthur,Vacant throughoutpresidency
Grover Cleveland,Thomas A. Hendricks[e]  Vacant afterNovember 25, 1885
Benjamin Harrison,Levi P. Morton
Grover Cleveland,Adlai Stevenson I
William McKinley,Garret Hobart[e]  Vacant afterNovember 21, 1899  Theodore Roosevelt
Theodore Roosevelt,Vacant throughMarch 4, 1905  Charles W. Fairbanks
William Howard Taft,James S. Sherman[e]  Vacant afterOctober 30, 1912
Woodrow Wilson,Thomas R. Marshall
Warren G. Harding,Calvin Coolidge
Calvin Coolidge,Vacant throughMarch 4, 1925  Charles G. Dawes
Herbert Hoover,Charles Curtis
Franklin D. Roosevelt,John Nance Garner  Henry A. Wallace  Harry S. Truman
Harry S. Truman,Vacant throughJanuary 20, 1949  Alben W. Barkley
Dwight D. Eisenhower,Richard Nixon
John F. Kennedy,Lyndon B. Johnson
Lyndon B. Johnson,Vacant throughJanuary 20, 1965  Hubert Humphrey
Richard Nixon,Spiro Agnew[h]  Vacant:October 10 – December 6, 1973  Gerald Ford[t]
Gerald Ford,Vacant throughDecember 19, 1974  Nelson Rockefeller[t]
Jimmy Carter,Walter Mondale
Ronald Reagan,George H. W. Bush
George H. W. Bush,Dan Quayle
Bill Clinton,Al Gore
George W. Bush,Dick Cheney
Barack Obama,Joe Biden
Donald Trump,Mike Pence
Joe Biden,Kamala Harris
Donald Trump,JD Vance